プレハブ名,形状,セル数,検証数,画像ずれ,画像エラー,最小一致率,詳細
Stage044,Hex,35,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 35セル "
Stage045,Hex,56,56,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(5,0): 一致率0.0 % Cell(6,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(5,1): 一致率0.0 % Cell(6,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(5,2): 一致率0.0 % Cell(6,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(5,3): 一致率0.0 % Cell(6,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(5,4): 一致率0.0 % Cell(6,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(5,5): 一致率0.0 % Cell(6,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % Cell(5,6): 一致率0.0 % Cell(6,6): 一致率0.0 % Cell(0,7): 一致率0.0 % Cell(1,7): 一致率0.0 % Cell(2,7): 一致率0.0 % Cell(3,7): 一致率0.0 % Cell(4,7): 一致率0.0 % Cell(5,7): 一致率0.0 % Cell(6,7): 一致率0.0 % "
Stage046,Square,20,20,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % "
Stage047,Square,35,35,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % "
Stage048,Square,56,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 56セル "
Stage049,Triangle,20,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 20セル "
Stage050,Triangle,36,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 36セル "
Stage051,Triangle,49,49,あり,なし,0.0 %,"Cell(0,0): 一致率0.8 % Cell(1,0): 一致率0.2 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.1 % Cell(4,0): 一致率0.3 % Cell(5,0): 一致率0.0 % Cell(6,0): 一致率0.0 % Cell(0,1): 一致率1.4 % Cell(1,1): 一致率0.1 % Cell(2,1): 一致率0.1 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.1 % Cell(5,1): 一致率0.0 % Cell(6,1): 一致率0.0 % Cell(0,2): 一致率0.3 % Cell(1,2): 一致率0.3 % Cell(2,2): 一致率0.1 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.3 % Cell(5,2): 一致率0.0 % Cell(6,2): 一致率0.0 % Cell(0,3): 一致率0.1 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.2 % Cell(3,3): 一致率0.5 % Cell(4,3): 一致率0.1 % Cell(5,3): 一致率0.0 % Cell(6,3): 一致率0.0 % Cell(0,4): 一致率0.1 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.2 % Cell(3,4): 一致率1.3 % Cell(4,4): 一致率0.3 % Cell(5,4): 一致率0.0 % Cell(6,4): 一致率0.0 % Cell(0,5): 一致率0.3 % Cell(1,5): 一致率0.2 % Cell(2,5): 一致率0.4 % Cell(3,5): 一致率1.4 % Cell(4,5): 一致率2.1 % Cell(5,5): 一致率0.0 % Cell(6,5): 一致率0.0 % Cell(0,6): 一致率0.1 % Cell(1,6): 一致率0.2 % Cell(2,6): 一致率1.3 % Cell(3,6): 一致率0.3 % Cell(4,6): 一致率0.1 % Cell(5,6): 一致率0.0 % Cell(6,6): 一致率0.0 % "
Stage052,Hex,35,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 35セル "
Stage053,Hex,35,35,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % "
Stage054,Hex,56,56,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(5,0): 一致率0.0 % Cell(6,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(5,1): 一致率0.0 % Cell(6,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(5,2): 一致率0.0 % Cell(6,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(5,3): 一致率0.0 % Cell(6,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(5,4): 一致率0.0 % Cell(6,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(5,5): 一致率0.0 % Cell(6,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % Cell(5,6): 一致率0.0 % Cell(6,6): 一致率0.0 % Cell(0,7): 一致率0.0 % Cell(1,7): 一致率0.0 % Cell(2,7): 一致率0.0 % Cell(3,7): 一致率0.0 % Cell(4,7): 一致率0.0 % Cell(5,7): 一致率0.0 % Cell(6,7): 一致率0.0 % "
Stage055,Square,35,35,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % "
Stage056,Square,35,35,あり,なし,0.0 %,"Cell(0,0): 一致率0.0 % Cell(1,0): 一致率0.0 % Cell(2,0): 一致率0.0 % Cell(3,0): 一致率0.0 % Cell(4,0): 一致率0.0 % Cell(0,1): 一致率0.0 % Cell(1,1): 一致率0.0 % Cell(2,1): 一致率0.0 % Cell(3,1): 一致率0.0 % Cell(4,1): 一致率0.0 % Cell(0,2): 一致率0.0 % Cell(1,2): 一致率0.0 % Cell(2,2): 一致率0.0 % Cell(3,2): 一致率0.0 % Cell(4,2): 一致率0.0 % Cell(0,3): 一致率0.0 % Cell(1,3): 一致率0.0 % Cell(2,3): 一致率0.0 % Cell(3,3): 一致率0.0 % Cell(4,3): 一致率0.0 % Cell(0,4): 一致率0.0 % Cell(1,4): 一致率0.0 % Cell(2,4): 一致率0.0 % Cell(3,4): 一致率0.0 % Cell(4,4): 一致率0.0 % Cell(0,5): 一致率0.0 % Cell(1,5): 一致率0.0 % Cell(2,5): 一致率0.0 % Cell(3,5): 一致率0.0 % Cell(4,5): 一致率0.0 % Cell(0,6): 一致率0.0 % Cell(1,6): 一致率0.0 % Cell(2,6): 一致率0.0 % Cell(3,6): 一致率0.0 % Cell(4,6): 一致率0.0 % "
